run,gate,video,complete,wall_s,active_det_s,detections,det_per_s,rtt_med_ms,rtt_p95_ms,detect_ms_med,detect_ms_p95,ocr_queue_med_ms,ocr_queue_p95_ms,ocr_exec_med_ms,ocr_exec_p95_ms,ocr_exec_max_ms,ocr_done,ocr_diag_n,accepts,reject_reasons,diag_statuses,cpu_avg_pct,cpu_peak_pct,rss_peak_mb,queue_depth_end,pending_end
v1-a1,A,v1,True,70.3,49.2,74,1.5,16.1,521.8,174.4,319.3,6.4,2891.6,851.3,2787.7,2787.7,20,27,27,"{""accepted"": 27, ""blurry"": 94, ""throttled"": 3}","{""done"": 20, ""duplicate"": 3, ""replaced"": 4}",4.5,13.9,2105.1,0,0
v1-a2,A,v1,True,69.8,49.0,73,1.49,12.2,584.3,180.0,317.8,5.8,3094.0,878.0,1558.3,1577.8,22,24,24,"{""accepted"": 24, ""blurry"": 93, ""throttled"": 1}","{""done"": 22, ""duplicate"": 1, ""replaced"": 1}",3.9,10.9,2269.1,0,0
v1-b1,B,v1,True,69.9,49.3,66,1.34,15.4,764.5,252.6,322.4,467.7,2301.0,913.8,1487.8,1675.8,34,38,38,"{""accepted"": 38, ""blurry"": 45, ""throttled"": 1}","{""done"": 34, ""duplicate"": 3, ""replaced"": 1}",3.6,8.9,2337.1,0,0
v1-b2,B,v1,True,70.1,49.7,68,1.37,19.6,674.5,239.3,323.1,17.4,1960.7,750.7,1416.0,1572.6,34,37,37,"{""accepted"": 37, ""blurry"": 37, ""throttled"": 2}","{""done"": 34, ""duplicate"": 3}",3.3,10.9,2384.4,0,0
v2-a1,A,v2,True,32.5,11.6,13,1.12,4.9,562.7,293.6,337.4,146.0,1496.1,418.3,890.9,890.9,18,22,22,"{""accepted"": 22, ""blurry"": 1, ""throttled"": 1}","{""done"": 18, ""duplicate"": 4}",1.6,5.0,2184.9,0,0
v2-a2,A,v2,True,32.8,11.9,14,1.18,6.3,563.2,307.8,330.8,104.6,1283.7,371.2,717.5,717.5,17,21,21,"{""accepted"": 21, ""blurry"": 1}","{""done"": 17, ""duplicate"": 4}",1.6,5.0,1965.3,0,0
v2-b1,B,v2,True,31.6,11.6,15,1.29,8.2,539.9,295.3,326.7,513.0,2538.4,341.2,1363.6,1363.6,20,23,23,"{""accepted"": 23, ""blurry"": 4}","{""done"": 20, ""duplicate"": 2, ""replaced"": 1}",1.8,6.0,1978.6,0,0
v2-b2,B,v2,True,33.0,12.1,13,1.08,5.4,540.1,302.4,318.2,554.1,1886.7,421.6,826.7,826.7,16,22,22,"{""accepted"": 22, ""blurry"": 1}","{""done"": 16, ""duplicate"": 6}",1.6,6.0,2006.9,0,0
v3-a1,A,v3,True,34.2,14.1,17,1.2,6.5,676.2,257.7,325.9,283.9,1419.4,352.1,640.6,640.6,19,20,20,"{""accepted"": 20, ""blurry"": 9, ""throttled"": 1}","{""done"": 19, ""duplicate"": 1}",1.7,5.0,2069.9,0,0
v3-a2,A,v3,True,35.2,14.3,16,1.12,4.1,523.6,285.6,325.9,2.9,1277.1,419.0,722.7,722.7,18,20,20,"{""accepted"": 20, ""blurry"": 3}","{""done"": 18, ""duplicate"": 2}",1.4,5.0,2040.9,0,0
v3-b1,B,v3,True,35.8,14.8,15,1.01,5.7,600.7,307.0,330.5,287.8,1054.1,369.4,776.5,964.9,21,23,23,"{""accepted"": 23, ""blurry"": 1, ""throttled"": 1}","{""done"": 21, ""duplicate"": 2}",1.5,4.0,2070.0,0,0
v3-b2,B,v3,True,34.6,13.6,18,1.32,6.3,694.2,237.9,324.2,576.2,1005.9,338.2,678.8,738.5,21,21,21,"{""accepted"": 21, ""blurry"": 3, ""throttled"": 3}","{""done"": 21}",1.6,5.0,2191.0,0,0
