call_id,run,physical_ids,track_id,source_request_ids,server_start,duration_ms,result,error,input_lines,latest_evidence_to_http_start_ms_estimate
1,v1-ocr-cold,"[""A""]",2,"[""361:2:4""]",2756.651536738,900.81,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""aqua-minerale-0-5l"", ""confidence"": 0.77, ""probabilities"": {""aqua-minerale-0-5l"": 0.8, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.0, ""senezhskaya-0-5l"": 0.0, ""saint-spring-0-75l"": 0.0, ""other_product"": 0.01, ""insufficient_evidence"": 0.19, ""prostokvashino-2-5-930ml"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0}}, ""usage"": {""input_tokens"": 2262, ""output_tokens"": 181}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""AKBA"", ""score"": 0.9818018674850464}]",0.4
2,v1-ocr-cold,"[""S""]",2,"[""372:2:11""]",2761.949673932,837.6,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""senezhskaya-0-5l"", ""confidence"": 1.0, ""probabilities"": {""prostokvashino-2-5-930ml"": 0.0, ""insufficient_evidence"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.0, ""senezhskaya-0-5l"": 1.0, ""other_product"": 0.0, ""aqua-minerale-0-5l"": 0.0, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""saint-spring-0-75l"": 0.0}}, ""usage"": {""input_tokens"": 2355, ""output_tokens"": 181}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""11074"", ""score"": 0.47228947281837463}, {""text"": ""НEГАЗИРОВАННАЯ"", ""score"": 0.6080764532089233}, {""text"": ""СЕНЕЖСКАЯ"", ""score"": 0.6825115084648132}]",0.21
3,v1-ocr-cold,"[""S""]",5,"[""384:5:25""]",2769.212013528,807.05,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""senezhskaya-0-5l"", ""confidence"": 0.96, ""probabilities"": {""prostokvashino-2-5-930ml"": 0.01, ""insufficient_evidence"": 0.02, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""aqua-minerale-0-5l"": 0.0, ""other_product"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.0, ""saint-spring-0-75l"": 0.0, ""senezhskaya-0-5l"": 0.97}}, ""usage"": {""input_tokens"": 2308, ""output_tokens"": 181}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""пнтосиля"", ""score"": 0.254874587059021}, {""text"": ""СEНЕЖCKAЯ"", ""score"": 0.5675244331359863}]",0.26
4,v1-ocr-cold,"[""P""]",2,"[""420:2:105""]",2790.522288773,927.95,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.82, ""probabilities"": {""domik-v-derevne-2-5-930ml"": 0.1, ""other_product"": 0.01, ""prostokvashino-2-5-930ml"": 0.05, ""aqua-minerale-0-5l"": 0.0, ""insufficient_evidence"": 0.84, ""senezhskaya-0-5l"": 0.0, ""saint-spring-0-75l"": 0.0, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0}}, ""usage"": {""input_tokens"": 2338, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""2,5%"", ""score"": 0.9659038186073303}, {""text"": ""in"", ""score"": 0.26576894521713257}, {""text"": ""МОЛОКО"", ""score"": 0.8915605545043945}]",0.21
5,v1-ocr-cold,"[""A""]",4,"[""421:4:107""]",2791.287948443,817.37,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""aqua-minerale-0-5l"", ""confidence"": 0.8, ""probabilities"": {""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""saint-spring-0-75l"": 0.0, ""aqua-minerale-0-5l"": 0.83, ""senezhskaya-0-5l"": 0.02, ""prostokvashino-2-5-930ml"": 0.0, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""insufficient_evidence"": 0.13, ""domik-v-derevne-2-5-930ml"": 0.0, ""other_product"": 0.02}}, ""usage"": {""input_tokens"": 2335, ""output_tokens"": 181}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""2992"", ""score"": 0.3386506140232086}, {""text"": ""AKBA"", ""score"": 0.9643429517745972}, {""text"": ""КAЯ"", ""score"": 0.5493099093437195}]",0.21
6,v1-ocr-cold,"[""D""]",6,"[""422:6:109""]",2793.068904258,842.06,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""domik-v-derevne-2-5-930ml"", ""confidence"": 0.56, ""probabilities"": {""domik-v-derevne-2-5-930ml"": 0.61, ""other_product"": 0.09, ""prostokvashino-2-5-930ml"": 0.0, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""saint-spring-0-75l"": 0.1, ""insufficient_evidence"": 0.18, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.01, ""aqua-minerale-0-5l"": 0.01, ""senezhskaya-0-5l"": 0.0}}, ""usage"": {""input_tokens"": 2458, ""output_tokens"": 187}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""OMUK"", ""score"": 0.5617832541465759}, {""text"": ""БОЛЬШЕ"", ""score"": 0.9581322073936462}, {""text"": ""Вдеревне"", ""score"": 0.5467591881752014}, {""text"": ""СВЯТОЙ"", ""score"": 0.6732304692268372}, {""text"": ""ФЕПМ"", ""score"": 0.6664794087409973}, {""text"": ""•УЗНАТЬ"", ""score"": 0.8755427598953247}]",0.34
7,v1-ocr-cold,"[""D""]",6,"[""422:6:109"", ""434:6:118""]",2805.912797343,791.11,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""domik-v-derevne-2-5-930ml"", ""confidence"": 0.77, ""probabilities"": {""other_product"": 0.04, ""senezhskaya-0-5l"": 0.0, ""prostokvashino-2-5-930ml"": 0.0, ""aqua-minerale-0-5l"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""insufficient_evidence"": 0.11, ""saint-spring-0-75l"": 0.04, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.81}}, ""usage"": {""input_tokens"": 2598, ""output_tokens"": 187}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""MOΛOK"", ""score"": 0.5864604711532593}, {""text"": ""OMUK"", ""score"": 0.5617832541465759}, {""text"": ""TOU"", ""score"": 0.641355574131012}, {""text"": ""uc"", ""score"": 0.5457426905632019}, {""text"": ""БОЛЬШЕ"", ""score"": 0.9581322073936462}, {""text"": ""Вдеревне"", ""score"": 0.5467591881752014}, {""text"": ""СВЯТОЙ"", ""score"": 0.6732304692268372}, {""text"": ""ФЕПМ"", ""score"": 0.6664794087409973}, {""text"": ""ФЕРМ"", ""score"": 0.740921139717102}, {""text"": ""•УЗНАТЬ"", ""score"": 0.8755427598953247}]",5445.17
8,v2-warm-a,"[""D""]",1,"[""437:1:119""]",2823.330860738,877.11,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.73, ""probabilities"": {""prostokvashino-2-5-930ml"": 0.0, ""insufficient_evidence"": 0.77, ""aqua-minerale-0-5l"": 0.01, ""other_product"": 0.02, ""senezhskaya-0-5l"": 0.01, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.01, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""domik-v-derevne-2-5-930ml"": 0.18, ""saint-spring-0-75l"": 0.0}}, ""usage"": {""input_tokens"": 2264, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""ФЕРМ"", ""score"": 0.7380644083023071}]",0.2
9,v2-warm-a,"[""P""]",3,"[""437:3:121""]",2824.140556764,10853.26,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""insufficient_evidence"", ""confidence"": 0.82, ""probabilities"": {""other_product"": 0.01, ""saint-spring-0-75l"": 0.0, ""insufficient_evidence"": 0.83, ""domik-v-derevne-2-5-930ml"": 0.11, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""prostokvashino-2-5-930ml"": 0.05, ""aqua-minerale-0-5l"": 0.0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0, ""senezhskaya-0-5l"": 0.0}}, ""usage"": {""input_tokens"": 2303, ""output_tokens"": 178}, ""status"": ""needs_more_evidence"", ""exact_sku_verified"": false}",,"[{""text"": ""2,5%"", ""score"": 0.9589107632637024}, {""text"": ""МОЛОКО"", ""score"": 0.8835026621818542}]",0.24
10,v2-warm-a,"[""A""]",4,"[""437:4:122""]",2824.538123927,853.37,"{""model"": ""jev-1.13.0"", ""answer"": {""type"": ""choice"", ""choice"": ""aqua-minerale-0-5l"", ""confidence"": 0.83, ""probabilities"": {""domik-v-derevne-2-5-930ml"": 0.0, ""other_product"": 0.01, ""dobryi-cola-no-sugar-0-5l"": 0.0, ""aqua-minerale-0-5l"": 0.86, ""senezhskaya-0-5l"": 0.0, ""prostokvashino-2-5-930ml"": 0.0, ""saint-spring-0-75l"": 0.0, ""insufficient_evidence"": 0.13, ""stantsiya-molochnaya-kefir-1-0-430g"": 0.0}}, ""usage"": {""input_tokens"": 2298, ""output_tokens"": 181}, ""status"": ""candidate"", ""exact_sku_verified"": false}",,"[{""text"": ""AKBA"", ""score"": 0.9827733039855957}, {""text"": ""МИH"", ""score"": 0.4010829031467438}]",0.21
