run,physical_id,expected_sku,first_detection_video_s,first_detection_frame_id,track_ids,first_ocr_submission_video_s,first_ocr_submission_request_id,first_ocr_completion_request_id,first_ocr_completion_video_of_crop_s,first_ocr_completion_observed,first_correct_candidate,first_correct_completed,crop_requests,accepted_submissions,ocr_runs,duplicate_skips,rejections,source_bottle_height_px,observed_detection_to_completed_wall_s,jev_calls,jev_errors,first_useful_brand_ocr_request,first_useful_brand_ocr_video_s,brand_ocr_note,first_useful_variant_ocr_request,exact_size_confirmed_by_ocr,first_clear_label_opportunity_source_s,opportunity_note,jev_censored_by_call_cap,first_submission_server_monotonic,first_completion_server_monotonic_estimate,first_brand_completion_server_monotonic_estimate
v1-ocr-cold,A,aqua-minerale-0-5l,1.726596,358,"[2, 4]",3.322726,361:2:4,361:2:4,3.322726,"{""request_id"": ""361:2:4"", ""browser_observed_wall_s"": 7.347}","{""browser_wall_since_play_s"": 7.847, ""browser_ms"": 7975.799999999814, ""track_id"": 2, ""choice"": ""aqua-minerale-0-5l"", ""confidence"": 0.77, ""source_video_time_latest"": 6.939285}","{""browser_wall_since_play_s"": 7.847, ""browser_ms"": 7975.799999999814, ""track_id"": 2, ""choice"": ""aqua-minerale-0-5l"", ""confidence"": 0.77, ""source_video_time_latest"": 6.939285}",59,3,3,0,"{""unknown_request"": 5, ""blurry"": 51}","{""n"": 75, ""median"": 1452.08, ""min"": 1153.02, ""p90"": 1529.69, ""max"": 1604.43}",5.165,2,0,361:2:4,3.322726,brand-supporting OCR; not SKU verification,,False,2,"manual inspected opportunity, not exact onset; readable brand versus generic label distinguished in ground-truth.md",False,2754.793121479,2756.6511320239997,2756.6511320239997
v1-ocr-cold,S,senezhskaya-0-5l,9.643809,372,"[2, 5]",9.643809,372:2:11,372:2:11,9.643809,"{""request_id"": ""372:2:11"", ""browser_observed_wall_s"": 12.201}","{""browser_wall_since_play_s"": 12.736, ""browser_ms"": 12865, ""track_id"": 2, ""choice"": ""senezhskaya-0-5l"", ""confidence"": 1, ""source_video_time_latest"": 11.763964}","{""browser_wall_since_play_s"": 12.736, ""browser_ms"": 12865, ""track_id"": 2, ""choice"": ""senezhskaya-0-5l"", ""confidence"": 1, ""source_video_time_latest"": 11.763964}",3,2,2,0,"{""blurry"": 1}","{""n"": 61, ""median"": 1181.15, ""min"": 993.35, ""p90"": 1437.14, ""max"": 1498.64}",2.099,2,0,372:2:11,9.643809,brand-supporting OCR; not SKU verification,372:2:11,False,10,"manual inspected opportunity, not exact onset; readable brand versus generic label distinguished in ground-truth.md",False,2761.180713657,2761.949464836,2761.949464836
v1-ocr-cold,W,saint-spring-0-75l,18.871625,387,"[2, 6, 8]",,,,,,,,24,0,0,0,"{""blurry"": 24}","{""n"": 26, ""median"": 1129.51, ""min"": 922.71, ""p90"": 1443.95, ""max"": 1534.59}",,0,0,,,none or generic/partial text only,,False,19,"manual inspected opportunity, not exact onset; readable brand versus generic label distinguished in ground-truth.md",False,,,
v1-ocr-cold,P,prostokvashino-2-5-930ml,27.408553,402,[2],38.140861,420:2:105,420:2:105,38.140861,"{""request_id"": ""420:2:105"", ""browser_observed_wall_s"": 40.076}",,,22,4,3,1,"{""blurry"": 18}","{""n"": 33, ""median"": 1531.0, ""min"": 1390.61, ""p90"": 1661.22, ""max"": 1682.85}",,1,0,,,none or generic/partial text only,420:2:105,False,28,"manual inspected opportunity, not exact onset; readable brand versus generic label distinguished in ground-truth.md",False,2789.711321189,2790.522075891,
v1-ocr-cold,D,domik-v-derevne-2-5-930ml,37.539617,419,[6],39.419704,422:6:109,422:6:109,39.419704,"{""request_id"": ""422:6:109"", ""browser_observed_wall_s"": 43.131}","{""browser_wall_since_play_s"": 44.205, ""browser_ms"": 44333.5, ""track_id"": 6, ""choice"": ""domik-v-derevne-2-5-930ml"", ""confidence"": 0.56, ""source_video_time_latest"": 43.246416}","{""browser_wall_since_play_s"": 56.889, ""browser_ms"": 57018.39999999991, ""track_id"": 6, ""choice"": ""domik-v-derevne-2-5-930ml"", ""confidence"": 0.77, ""source_video_time_latest"": null}",10,3,2,1,"{""blurry"": 5, ""unknown_request"": 1, ""throttled"": 1}","{""n"": 16, ""median"": 1752.57, ""min"": 1485.25, ""p90"": 1778.44, ""max"": 1874.19}",18.327,2,0,422:6:109,39.419704,brand-supporting OCR; not SKU verification,,False,39.4,"manual inspected opportunity, not exact onset; readable brand versus generic label distinguished in ground-truth.md",False,2791.369410944,2793.0685607849996,2793.0685607849996
v1-warm,A,aqua-minerale-0-5l,1.66636,473,"[2, 3]",4.412035,478:2:173,478:2:173,4.412035,"{""request_id"": ""478:2:173"", ""browser_observed_wall_s"": 6.851}","{""browser_wall_since_play_s"": 7.375, ""browser_ms"": 146020.8999999999, ""track_id"": 2, ""choice"": ""aqua-minerale-0-5l"", ""confidence"": 0.79, ""source_video_time_latest"": null}","{""browser_wall_since_play_s"": 7.375, ""browser_ms"": 146020.8999999999, ""track_id"": 2, ""choice"": ""aqua-minerale-0-5l"", ""confidence"": 0.79, ""source_video_time_latest"": null}",50,2,2,0,"{""blurry"": 43, ""unknown_request"": 5}","{""n"": 75, ""median"": 1454.95, ""min"": 1200.51, ""p90"": 1518.54, ""max"": 1598.31}",4.756,2,0,478:2:173,4.412035,brand-supporting OCR; not SKU verification,,False,2,"manual inspected opportunity, not exact onset; readable brand versus generic label distinguished in ground-truth.md",False,2894.413875614,2895.215585605,2895.215585605
v1-warm,S,senezhskaya-0-5l,9.721829,487,"[2, 5]",9.721829,487:2:180,487:2:180,9.721829,"{""request_id"": ""487:2:180"", ""browser_observed_wall_s"": 12.679}","{""browser_wall_since_play_s"": 12.679, ""browser_ms"": 151325.19999999972, ""track_id"": 2, ""choice"": ""senezhskaya-0-5l"", ""confidence"": 0.99, ""source_video_time_latest"": null}","{""browser_wall_since_play_s"": 12.679, ""browser_ms"": 151325.19999999972, ""track_id"": 2, ""choice"": ""senezhskaya-0-5l"", ""confidence"": 0.99, ""source_video_time_latest"": null}",3,2,2,0,"{""blurry"": 1}","{""n"": 60, ""median"": 1180.17, ""min"": 998.87, ""p90"": 1436.26, ""max"": 1500.57}",1.987,2,0,487:2:180,9.721829,brand-supporting OCR; not SKU verification,487:2:180,False,10,"manual inspected opportunity, not exact onset; readable brand versus generic label distinguished in ground-truth.md",False,2899.755016993,2900.518028108,2900.518028108
v1-warm,W,saint-spring-0-75l,18.640957,502,"[2, 6, 8]",,,,,,,,25,0,0,0,"{""blurry"": 25}","{""n"": 26, ""median"": 1121.17, ""min"": 913.74, ""p90"": 1492.09, ""max"": 1584.16}",,0,0,,,none or generic/partial text only,,False,19,"manual inspected opportunity, not exact onset; readable brand versus generic label distinguished in ground-truth.md",False,,,
v1-warm,P,prostokvashino-2-5-930ml,27.782793,518,[2],38.159605,535:2:264,535:2:264,38.159605,"{""request_id"": ""535:2:264"", ""browser_observed_wall_s"": 40.955}",,,22,4,3,1,"{""blurry"": 17, ""unknown_request"": 1}","{""n"": 31, ""median"": 1529.8, ""min"": 1394.61, ""p90"": 1704.9, ""max"": 1737.09}",,2,0,,,none or generic/partial text only,535:2:264,False,28,"manual inspected opportunity, not exact onset; readable brand versus generic label distinguished in ground-truth.md",False,2928.24102296,2929.2200432659997,
v1-warm,D,domik-v-derevne-2-5-930ml,37.558761,534,[6],38.774096,536:6:266,536:6:266,38.774096,"{""request_id"": ""536:6:266"", ""browser_observed_wall_s"": 41.729}","{""browser_wall_since_play_s"": 65.373, ""browser_ms"": 204018.59999999963, ""track_id"": 6, ""choice"": ""domik-v-derevne-2-5-930ml"", ""confidence"": 0.96, ""source_video_time_latest"": null}","{""browser_wall_since_play_s"": 65.373, ""browser_ms"": 204018.59999999963, ""track_id"": 6, ""choice"": ""domik-v-derevne-2-5-930ml"", ""confidence"": 0.96, ""source_video_time_latest"": null}",7,4,4,0,"{""blurry"": 2, ""throttled"": 1}","{""n"": 15, ""median"": 1754.75, ""min"": 1463.53, ""p90"": 1778.6, ""max"": 1810.23}",26.794,2,1,536:6:266,38.774096,brand-supporting OCR; not SKU verification,,False,39.4,"manual inspected opportunity, not exact onset; readable brand versus generic label distinguished in ground-truth.md",False,2929.17056339,2930.662117139,2930.662117139
