run,physical_id,session_version,frame_id,track_id,request_id,video_timestamp,status,reason,mapped_rect,sharpness,ocr_status,ocr_text,ocr_scores,crop_transport_ms,queue_wait_ms,ocr_ms,submit_server_monotonic,crop_path,jev_latest,ocr_done_server_estimate
v1-ocr-cold,A,9,358,2,358:2:1,1.726596,rejected,unknown_request,"{""x"": 1375, ""y"": 124, ""w"": 747, ""h"": 1757}",13.204,,,[],,,,,evidence/v1-ocr-cold/358_2_1-crop_jpeg.jpg,,
v1-ocr-cold,A,9,359,2,359:2:2,2.278973,rejected,unknown_request,"{""x"": 1386, ""y"": 97, ""w"": 729, ""h"": 1716}",12.838,,,[],,,,,evidence/v1-ocr-cold/359_2_2-crop_jpeg.jpg,,
v1-ocr-cold,A,9,360,2,360:2:3,2.801271,rejected,blurry,"{""x"": 1346, ""y"": 82, ""w"": 727, ""h"": 1714}",14.32,,,[],367.9,,,,evidence/v1-ocr-cold/360_2_3-crop_jpeg.jpg,,
v1-ocr-cold,A,9,361,2,361:2:4,3.322726,accepted,accepted,"{""x"": 1327, ""y"": 89, ""w"": 727, ""h"": 1722}",15.639,done,AKBA,[0.9818018674850464],359.84,840.04411099977,1017.9664339998453,2754.793121479,evidence/v1-ocr-cold/361_2_4-crop_jpeg.jpg,"{""source_request_ids"": [""361:2:4""], ""lines"": [{""text"": ""AKBA"", ""score"": 0.9818018674850464}], ""result"": {""status"": ""candidate"", ""choice"": ""aqua-minerale-0-5l"", ""confidence"": 0.77, ""probabilities"": {""aqua-minerale-0-5l"": 0.8, ""dobryi-cola-no-sugar-0-5l"": 0, ""domik-v-derevne-2-5-930ml"": 0, ""senezhskaya-0-5l"": 0, ""saint-spring-0-75l"": 0, ""other_product"": 0.01, ""insufficient_evidence"": 0.19, ""prostokvashino-2-5-930ml"": 0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0}}, ""duration_ms"": 900.8615419998023, ""source_ids_dropped"": 0, ""error"": false}",2756.6511320239997
v1-ocr-cold,A,9,364,2,364:2:5,4.938919,accepted,accepted,"{""x"": 1326, ""y"": 123, ""w"": 711, ""h"": 1694}",15.166,done,AKBA,[0.9812785983085632],424.18,97.15619100006734,601.0934750001979,2756.563241285,evidence/v1-ocr-cold/364_2_5-crop_jpeg.jpg,,2757.2614909510003
v1-ocr-cold,A,9,368,4,368:4:6,7.443636,rejected,blurry,"{""x"": 2705, ""y"": 148, ""w"": 993, ""h"": 1789}",7.155,,,[],405.12,,,,evidence/v1-ocr-cold/368_4_6-crop_jpeg.jpg,,
v1-ocr-cold,A,9,369,4,369:4:7,7.962164,rejected,blurry,"{""x"": 2703, ""y"": 142, ""w"": 986, ""h"": 1774}",9.35,,,[],379.67,,,,evidence/v1-ocr-cold/369_4_7-crop_jpeg.jpg,,
v1-ocr-cold,A,9,370,4,370:4:8,8.538598,rejected,unknown_request,"{""x"": 2644, ""y"": 160, ""w"": 989, ""h"": 1776}",8.133,,,[],,,,,evidence/v1-ocr-cold/370_4_8-crop_jpeg.jpg,,
v1-ocr-cold,A,9,371,4,371:4:9,9.108188,rejected,blurry,"{""x"": 2585, ""y"": 285, ""w"": 954, ""h"": 1714}",7.158,,,[],392.65,,,,evidence/v1-ocr-cold/371_4_9-crop_jpeg.jpg,,
v1-ocr-cold,A,9,372,4,372:4:10,9.643809,rejected,blurry,"{""x"": 2566, ""y"": 361, ""w"": 946, ""h"": 1697}",8.823,,,[],402.84,,,,evidence/v1-ocr-cold/372_4_10-crop_jpeg.jpg,,
v1-ocr-cold,S,9,372,2,372:2:11,9.643809,accepted,accepted,"{""x"": 975, ""y"": 332, ""w"": 730, ""h"": 1738}",16.739,done,СЕНЕЖСКАЯ | 11074 | НEГАЗИРОВАННАЯ,"[0.6825115084648132, 0.47228947281837463, 0.6080764532089233]",411.92,4.5818209996468795,764.1693580003448,2761.180713657,evidence/v1-ocr-cold/372_2_11-crop_jpeg.jpg,"{""source_request_ids"": [""372:2:11""], ""lines"": [{""text"": ""11074"", ""score"": 0.47228947281837463}, {""text"": ""НEГАЗИРОВАННАЯ"", ""score"": 0.6080764532089233}, {""text"": ""СЕНЕЖСКАЯ"", ""score"": 0.6825115084648132}], ""result"": {""status"": ""candidate"", ""choice"": ""senezhskaya-0-5l"", ""confidence"": 1, ""probabilities"": {""prostokvashino-2-5-930ml"": 0, ""insufficient_evidence"": 0, ""stantsiya-molochnaya-kefir-1-0-430g"": 0, ""domik-v-derevne-2-5-930ml"": 0, ""senezhskaya-0-5l"": 1, ""other_product"": 0, ""aqua-minerale-0-5l"": 0, ""dobryi-cola-no-sugar-0-5l"": 0, ""saint-spring-0-75l"": 0}}, ""duration_ms"": 837.6432000000023, ""source_ids_dropped"": 0, ""error"": false}",2761.949464836
v1-ocr-cold,A,9,373,4,373:4:12,10.215494,rejected,blurry,"{""x"": 2506, ""y"": 343, ""w"": 964, ""h"": 1731}",10.396,,,[],715.32,,,,evidence/v1-ocr-cold/373_4_12-crop_jpeg.jpg,,
v1-ocr-cold,A,9,374,4,374:4:13,10.875196,rejected,blurry,"{""x"": 2494, ""y"": 340, ""w"": 965, ""h"": 1733}",11.385,,,[],390.39,,,,evidence/v1-ocr-cold/374_4_13-crop_jpeg.jpg,,
v1-ocr-cold,A,9,375,4,375:4:14,11.763964,rejected,blurry,"{""x"": 2503, ""y"": 355, ""w"": 961, ""h"": 1722}",14.151,,,[],386.1,,,,evidence/v1-ocr-cold/375_4_14-crop_jpeg.jpg,,
v1-ocr-cold,A,9,376,4,376:4:15,12.330331,rejected,unknown_request,"{""x"": 2511, ""y"": 359, ""w"": 958, ""h"": 1715}",12.313,,,[],,,,,evidence/v1-ocr-cold/376_4_15-crop_jpeg.jpg,,
v1-ocr-cold,A,9,377,4,377:4:16,12.895034,rejected,blurry,"{""x"": 2517, ""y"": 369, ""w"": 957, ""h"": 1707}",11.722,,,[],399.86,,,,evidence/v1-ocr-cold/377_4_16-crop_jpeg.jpg,,
v1-ocr-cold,A,9,378,4,378:4:17,13.44735,rejected,blurry,"{""x"": 2525, ""y"": 377, ""w"": 958, ""h"": 1704}",11.509,,,[],404.54,,,,evidence/v1-ocr-cold/378_4_17-crop_jpeg.jpg,,
v1-ocr-cold,A,9,379,4,379:4:18,14.025876,rejected,blurry,"{""x"": 2527, ""y"": 377, ""w"": 960, ""h"": 1704}",11.372,,,[],382.53,,,,evidence/v1-ocr-cold/379_4_18-crop_jpeg.jpg,,
v1-ocr-cold,A,9,380,4,380:4:19,14.611031,rejected,blurry,"{""x"": 2523, ""y"": 391, ""w"": 958, ""h"": 1698}",11.331,,,[],378.41,,,,evidence/v1-ocr-cold/380_4_19-crop_jpeg.jpg,,
v1-ocr-cold,A,9,381,4,381:4:20,15.170901,rejected,blurry,"{""x"": 2612, ""y"": 442, ""w"": 823, ""h"": 1457}",14.485,,,[],376.52,,,,evidence/v1-ocr-cold/381_4_20-crop_jpeg.jpg,,
v1-ocr-cold,A,9,382,4,382:4:21,15.724193,rejected,blurry,"{""x"": 2544, ""y"": 412, ""w"": 893, ""h"": 1608}",6.472,,,[],372.27,,,,evidence/v1-ocr-cold/382_4_21-crop_jpeg.jpg,,
